,DateTime,WET,WET_Fixed,Year
Months starting April 2002,,,,
1,18/04/2002,5.056579113,5.056579113,2002
2,10/05/2002,2.526459217,2.526459217,2002
3,15/06/2002,,0.446362208,2002
4,15/07/2002,,-0.964430228,2002
5,16/08/2002,-0.390227973,-0.390227973,2002
6,16/09/2002,1.063932657,1.063932657,2002
7,16/10/2002,-3.283382893,-3.283382893,2002
8,16/11/2002,-7.392820835,-7.392820835,2002
9,16/12/2002,-9.932761192,-9.932761192,2002
10,16/01/2003,-4.594008923,-4.594008923,2003
11,15/02/2003,0.1708083,0.1708083,2003
12,16/03/2003,8.634573936,8.634573936,2003
13,16/04/2003,6.15939045,6.15939045,2003
14,11/05/2003,7.009529114,7.009529114,2003
15,15/06/2003,,4.022863499,2003
16,16/07/2003,0.357528687,0.357528687,2003
17,16/08/2003,0.496563673,0.496563673,2003
18,16/09/2003,1.310542703,1.310542703,2003
19,16/10/2003,-1.588348508,-1.588348508,2003
20,16/11/2003,-6.032596111,-6.032596111,2003
21,16/12/2003,-5.765835285,-5.765835285,2003
22,07/01/2004,-4.166698456,-4.166698456,2004
23,17/02/2004,2.159775972,2.159775972,2004
24,16/03/2004,1.901686549,1.901686549,2004
25,16/04/2004,-0.636740088,-0.636740088,2004
26,16/05/2004,0.308224112,0.308224112,2004
27,16/06/2004,-5.445379734,-5.445379734,2004
28,16/07/2004,-4.6876688,-4.6876688,2004
29,16/08/2004,-2.445879936,-2.445879936,2004
30,16/09/2004,-3.355787992,-3.355787992,2004
31,16/10/2004,-3.123050213,-3.123050213,2004
32,16/11/2004,-6.819214821,-6.819214821,2004
33,16/12/2004,-8.183262825,-8.183262825,2004
34,16/01/2005,-3.958483934,-3.958483934,2005
35,15/02/2005,6.393201828,6.393201828,2005
36,16/03/2005,15.60524368,15.60524368,2005
37,16/04/2005,14.57569981,14.57569981,2005
38,16/05/2005,16.40424156,16.40424156,2005
39,16/06/2005,8.21229744,8.21229744,2005
40,16/07/2005,6.67069912,6.67069912,2005
41,16/08/2005,3.692045927,3.692045927,2005
42,16/09/2005,3.029574394,3.029574394,2005
43,16/10/2005,-0.023129115,-0.023129115,2005
44,16/11/2005,-3.623226643,-3.623226643,2005
45,16/12/2005,-6.717245579,-6.717245579,2005
46,16/01/2006,-3.160337448,-3.160337448,2006
47,15/02/2006,2.67021513,2.67021513,2006
48,16/03/2006,7.641792774,7.641792774,2006
49,16/04/2006,6.989375591,6.989375591,2006
50,16/05/2006,0.583925724,0.583925724,2006
51,16/06/2006,-3.571524858,-3.571524858,2006
52,16/07/2006,-2.222243786,-2.222243786,2006
53,16/08/2006,1.729764462,1.729764462,2006
54,16/09/2006,2.013627529,2.013627529,2006
55,16/10/2006,-2.748768568,-2.748768568,2006
56,16/11/2006,-5.300805569,-5.300805569,2006
57,16/12/2006,0.229189694,0.229189694,2006
58,16/01/2007,-0.193641856,-0.193641856,2007
59,14/02/2007,3.05649972,3.05649972,2007
60,16/03/2007,9.877480507,9.877480507,2007
61,16/04/2007,11.18020248,11.18020248,2007
62,16/05/2007,3.211045265,3.211045265,2007
63,16/06/2007,1.317260385,1.317260385,2007
64,16/07/2007,2.822800398,2.822800398,2007
65,16/08/2007,1.953709364,1.953709364,2007
66,16/09/2007,1.232290387,1.232290387,2007
67,16/10/2007,-3.215587854,-3.215587854,2007
68,16/11/2007,-6.918566704,-6.918566704,2007
69,16/12/2007,-9.424407005,-9.424407005,2007
70,16/01/2008,-4.788556099,-4.788556099,2008
71,15/02/2008,1.035737276,1.035737276,2008
72,16/03/2008,3.375646591,3.375646591,2008
73,16/04/2008,3.331229925,3.331229925,2008
74,16/05/2008,-0.38486287,-0.38486287,2008
75,16/06/2008,-4.186538696,-4.186538696,2008
76,16/07/2008,-5.25250721,-5.25250721,2008
77,16/08/2008,-0.226687789,-0.226687789,2008
78,16/09/2008,-0.854937732,-0.854937732,2008
79,16/10/2008,-4.655473709,-4.655473709,2008
80,16/11/2008,-8.630865097,-8.630865097,2008
81,16/12/2008,-8.834980011,-8.834980011,2008
82,16/01/2009,-5.718033314,-5.718033314,2009
83,15/02/2009,0.308303475,0.308303475,2009
84,16/03/2009,5.535820484,5.535820484,2009
85,16/04/2009,6.566977024,6.566977024,2009
86,16/05/2009,4.41377449,4.41377449,2009
87,16/06/2009,-0.659869075,-0.659869075,2009
88,16/07/2009,-0.064363658,-0.064363658,2009
89,16/08/2009,-0.912914753,-0.912914753,2009
90,16/09/2009,-1.961973429,-1.961973429,2009
91,16/10/2009,-6.322370529,-6.322370529,2009
92,16/11/2009,-8.693543434,-8.693543434,2009
93,16/12/2009,-7.939225674,-7.939225674,2009
94,16/01/2010,-5.568493843,-5.568493843,2010
95,15/02/2010,0.278437495,0.278437495,2010
96,16/03/2010,3.165331841,3.165331841,2010
97,16/04/2010,2.76277566,2.76277566,2010
98,16/05/2010,-0.506320894,-0.506320894,2010
99,16/06/2010,-1.083149314,-1.083149314,2010
100,16/07/2010,-0.428489417,-0.428489417,2010
101,16/08/2010,7.807271481,7.807271481,2010
102,16/09/2010,2.57576561,2.57576561,2010
103,16/10/2010,-1.614640355,-1.614640355,2010
104,16/11/2010,-5.574398518,-5.574398518,2010
105,14/12/2010,-8.418911934,-8.418911934,2010
106,15/01/2011,,-4.054861525,2011
107,18/02/2011,2.465990305,2.465990305,2011
108,16/03/2011,5.323631763,5.323631763,2011
109,16/04/2011,5.44917345,5.44917345,2011
110,16/05/2011,1.00522387,1.00522387,2011
111,18/07/2011,-3.488080978,-3.488080978,2011
112,16/08/2011,-2.278860331,-2.278860331,2011
113,16/09/2011,-0.116580449,-0.116580449,2011
114,16/10/2011,-3.750308752,-3.750308752,2011
115,01/11/2011,-5.2150383,-5.2150383,2011
116,28/12/2011,-8.458868027,-8.458868027,2011
117,16/01/2012,-5.633677006,-5.633677006,2012
118,15/02/2012,-2.48955965,-2.48955965,2012
119,16/03/2012,2.879227638,2.879227638,2012
120,04/04/2012,1.42934227,1.42934227,2012
121,16/06/2012,-4.855651379,-4.855651379,2012
122,16/07/2012,-11.71725655,-11.71725655,2012
123,16/08/2012,-2.371341228,-2.371341228,2012
124,13/09/2012,-0.135758162,-0.135758162,2012
125,15/10/2012,,-2.361130887,2012
126,18/11/2012,-6.337874413,-6.337874413,2012
127,16/12/2012,-9.577555656,-9.577555656,2012
128,16/01/2013,-6.50923872,-6.50923872,2013
129,14/02/2013,0.188843638,0.188843638,2013
130,15/03/2013,,3.758788992,2013
131,21/04/2013,4.217315674,4.217315674,2013
132,16/05/2013,2.40911603,2.40911603,2013
133,16/06/2013,-1.876451015,-1.876451015,2013
134,16/07/2013,-2.642197609,-2.642197609,2013
135,15/08/2013,,-2.512111688,2013
136,15/09/2013,,-2.323406397,2013
137,16/10/2013,-3.333673954,-3.333673954,2013
138,16/11/2013,-6.102667332,-6.102667332,2013
139,16/12/2013,-11.0185709,-11.0185709,2013
140,09/01/2014,-8.839427948,-8.839427948,2014
141,15/02/2014,,-1.958516149,2014
142,17/03/2014,4.117390156,4.117390156,2014
143,16/04/2014,5.109879494,5.109879494,2014
144,16/05/2014,3.617025614,3.617025614,2014
145,13/06/2014,-2.236711979,-2.236711979,2014
146,15/07/2014,,-3.655774944,2014
147,16/08/2014,-1.782446384,-1.782446384,2014
148,16/09/2014,-0.197159559,-0.197159559,2014
149,16/10/2014,-2.988143682,-2.988143682,2014
150,16/11/2014,-5.264373302,-5.264373302,2014
151,15/12/2014,,-10.27844561,2014
152,22/01/2015,-10.14349937,-10.14349937,2015
153,15/02/2015,0.278977871,0.278977871,2015
154,16/03/2015,2.955404043,2.955404043,2015
155,16/04/2015,9.257351875,9.257351875,2015
156,15/05/2015,,10.65119614,2015
157,15/06/2015,,6.531157887,2015
158,15/07/2015,4.584325314,4.584325314,2015
159,16/08/2015,4.821365833,4.821365833,2015
160,14/09/2015,0.435944855,0.435944855,2015
161,15/10/2015,,-4.941957006,2015
162,15/11/2015,,-9.489602901,2015
163,23/12/2015,-7.171066284,-7.171066284,2015
164,16/01/2016,0.394322306,0.394322306,2016
165,14/02/2016,0.033517126,0.033517126,2016
166,16/03/2016,3.227087975,3.227087975,2016
167,15/04/2016,,4.350122565,2016
168,20/05/2016,1.965243936,1.965243936,2016
169,16/06/2016,-2.044196844,-2.044196844,2016
170,15/07/2016,1.374942183,1.374942183,2016
171,21/08/2016,-0.705622435,-0.705622435,2016
172,15/09/2016,,-4.215435539,2016
173,15/10/2016,,-8.277144344,2016
174,27/11/2016,-14.36453724,-14.36453724,2016
175,24/12/2016,-20.53841782,-20.53841782,2016
176,21/01/2017,-14.93290615,-14.93290615,2017
177,15/02/2017,,-2.821695922,2017
178,31/03/2017,5.481196404,5.481196404,2017
179,24/04/2017,2.021649361,2.021649361,2017
180,13/05/2017,-5.773080349,-5.773080349,2017
181,15/06/2017,,-12.42773558,2017
182,15/07/2017,,-17.21590814,2017
183,15/08/2017,,-20.13759805,2017
184,15/09/2017,,-21.1928053,2017
185,15/10/2017,,-20.38152988,2017
186,15/11/2017,,-17.70377181,2017
187,15/12/2017,,-13.56134396,2017
188,15/01/2018,,-10.36512364,2018
189,15/02/2018,,-8.516923721,2018
190,15/03/2018,,-8.016744215,2018
191,15/04/2018,,-8.864585119,2018
192,15/05/2018,,-11.06044643,2018
193,16/06/2018,-14.60432816,-14.60432816,2018
194,10/07/2018,-18.89303207,-18.89303207,2018
